奥林国际	4772	暂无数据	21元/㎡/月	680000m²	暂无数据	2015年	12万元/位	1.96	38%(一般)	巴彦淖尔市新力置业（集团）股份有限公司	暂无数据	
万锦世纪城	4301	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
奥林国际三期	5132	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
尚林丽景	3491	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
王府花园	6024	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
明珠城北区(五一街)	5246	公寓	6元/㎡/月	7580m²	暂无数据	2009年	免费	1.5	25%(一般)	暂无数据	暂无数据	
江南华府	6083	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	百替集团（巴彦淖尔）投资有限公司	暂无数据	
香缇溪谷(金沙路)	5493	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中华家园(幸福路)	4149	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
华盛园	3552	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
山河墅	5835	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
盛世豪城(乌兰布和路)	3797	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
山河湾	4326	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
北欧印象(水源路)	5783	暂无数据	暂无数据	127000m²	暂无数据	2010年	暂无数据	1.5	25%(一般)	巴彦淖尔市宏顺伟业房地产开发有限公司	暂无数据	
华海尚都	5392	暂无数据	暂无数据	暂无数据	暂无数据	2014年	暂无数据	暂无数据	43%(高)	内蒙古海天房地产开发有限责任公司	暂无数据	
峻峰华庭	5327	暂无数据	1.25元/㎡/月	60000m²	暂无数据	2010年	5000元/年	3.25	32%(一般)	内蒙古华裕房地产开发集团有限公司	暂无数据	
四季花城(新华西街)	5084	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
欧洲假日	4463	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
阳光新都	5135	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
财富广场	5316	暂无数据	暂无数据	100000m²	暂无数据	2015年	地上地下	3	暂无数据	内蒙古美联房地产开发有限公司	暂无数据	
健康新家园(河套大街)	5625	暂无数据	6元/㎡/月	暂无数据	暂无数据	暂无数据	免费	暂无数据	暂无数据	暂无数据	暂无数据	
文景国际	4098	暂无数据	暂无数据	621337m²	暂无数据	2015年	暂无数据	3.1	31%(一般)	巴彦淖尔市恒大房地产开发有限公司	暂无数据	
北国华府	3937	暂无数据	暂无数据	160000m²	暂无数据	2015年	停车位:有停车位，车位9--13万元	2.5	32%(一般)	巴彦淖尔市盛源房地产开发有限公司	暂无数据	
欧晟郡府	4098	暂无数据	暂无数据	600000m²	暂无数据	2015年	地上地下	1.84	31%(一般)	暂无数据	暂无数据	
玫瑰园	4795	暂无数据	6.5元/㎡/月	395400m²	暂无数据	2001年	免费	暂无数据	20%(一般)	内蒙古友邦房地产开发有限责任公司	暂无数据	
今日花园(永安街)	6122	暂无数据	暂无数据	99521m²	暂无数据	2009年	地上免费停车	12	15%(低)	内蒙古佳誉物业服务有限责任公司	暂无数据	
朗润园	2415	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金沙丽苑(金沙路)	4891	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
鸿臣欧洲假日	5476	暂无数据	18元/㎡/月	820000m²	暂无数据	2015年	地上地下	2.3	30%(一般)	内蒙古鸿臣房地产开发有限公司	暂无数据	
新城康都(金川大道)	5273	暂无数据	6元/㎡/月	296500m²	暂无数据	2010年	地上地下	1.5	25%(一般)	内蒙古海天房地产开发有限责任公司	暂无数据	
时代家园(万丰街)	4114	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
紫薇园(光辉路)	2314	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
海天现代城(河套大街)	6220	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
富贵园(团结路)	4751	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
鸥洲假日	5396	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
美丽园(庆丰街)	6058	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东辰名苑	4659	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
泰汇现代城	5646	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
临河区保安公司家属楼	4817	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
海天家园	5931	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
阳光三号园(人民路)	4612	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金都华庭(庆丰街)	6122	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
光宇花园(团结路)	5169	公寓	暂无数据	暂无数据	暂无数据	2004年	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
锦绣花园	5512	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	内蒙古新正房地产开发有限责任公司	暂无数据	
赛亨花园(光辉路)	5625	暂无数据	5.5元/㎡/月	78000m²	暂无数据	2003年	售价12万/个	12	25%(一般)	巴彦淖尔市阳光物业管理有限公司	暂无数据	
四季花城三区(新华西街)	5333	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
领秀小区(开源路)	4312	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
光辉花苑(团结路)	6122	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
太阳城(团结路)	5012	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
洪臣富丽3楼	
