荣亨逸都	12362	普通住宅	0.7元/平方米·月	200000m²	1500户	2009年	1050	2	40%(高)	常州荣亨房地产发展有限公司	常州中房	
绿地世纪城	10808	普通住宅	0.84元/平方米·月	760000m²	2466户	2012年	车位配比1：0.6	2.3	30%(一般)	常州祁华房地产开发有限公司	常州中鑫物业	
御城	13003	别墅、普通住宅	0.9元/平方米·月	900000m²	6261户	2011年	地下车位7-10万/个	1.8	52%(高)	常州宏骏房地产开发有限公司	江苏雋御物业服务有限公司	
大名城	13524	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
龙德花园	12131	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
绿都万和城	13203	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
武进吾悦广场	14624	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
泰盈八千里	10849	普通住宅	1元/平方米·月	660000m²	4646户	2012年	1：0.6地下层	2.8	35%(一般)	荷兰GTC 香港泰盈,香港泰盈	江苏高正	
星河国际	15424	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
九洲新世界	16174	普通住宅	1.05元/平方米·月	1100000m²	4000户	2011年	8000	3.8	30%(一般)	江苏九洲投资集团	九洲物业	
清水湾花园	12668	普通住宅	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
路劲城	11928	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天山花园	10326	普通住宅	0.5元/平方米·月	380000m²	2706户	2010年	机动车1700个左右	1.94	45%(高)	金桥房地产开发股份有限公司	万和物业	
莱蒙城(住宅)	13548	暂无数据	1.03元/平方米·月	1000000m²	626户	2011年	1：1	2	50%(高)	常州莱蒙水榭花都房产开发有限公司	莱蒙物业	
香树湾云景	7142	普通住宅	0.7元/平方米·月	291590m²	300户	2011年	地下停车位	0.65	36%(一般)	江阴高成房地产开发有限公司	第一太平戴维斯物业顾问（上海）有限公司	
金美林花园	7440	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中海龙城公馆	16099	普通住宅	2.30元/㎡/月	206480m²	1666户	2016年	1683	2.54	暂无数据	中海宏洋置业（常州）有限公司	中海宏洋物业	
滨江明珠城	10585	普通住宅	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
银河湾第1城	11872	普通住宅	0.78元/平方米·月	500000m²	3700户	2012年	1：1	2	60%(高)	常州华光房地产开发有限公司	光华物业	
龙湖龙誉城住宅	14686	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
溪湖小镇	10745	普通住宅	3.5元/平方米·月	282916m²	1511户	2012年	别墅1户2位	0.96	52%(高)	常州市侨裕集团房地产开发有限公司	香港戴德梁行	
天隽峰	13348	普通住宅	0.9元/平方米·月	400000m²	2693户	2011年	地下车位：2300个	3.15	41%(高)	常州宏佳房地产开发有限公司（路劲地产集团有限公司） 	江苏雋御物业服务有限公司	
世茂香槟湖	15022	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常发豪郡住宅	11042	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
凤凰名城	11909	普通住宅	0.7元/平方米·月	320500m²	2900户	2011年	1：0.8	2.48	40%(高)	江苏中天凤凰集团有限公司	江苏高正	
花园西村	7601	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6246元/平方米	
万水美兰城	12374	暂无数据	0.8元/平方米·月	暂无数据	暂无数据	暂无数据	1051	2.3	35%(一般)	暂无数据	常州高正物业公司	
高成天鹅湖	12375	普通住宅	1.02元/平方米·月	520000m²	200户	2013年	地下停车位	2.8	22%(一般)	常州高成莱阳置业有限公司	FPDsavills	
枫林雅都	11380	普通住宅	0.69元/平方米·月	170000m²	1000户	2008年	700个以上	2.5	40%(高)	江苏通达房地产开发有限公司,常州中亚房地产开发有限公司  	江苏高正物业管理有限公司	
翠竹新村	8320	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
常州武进万达广场	12532	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
御翠园	21053	普通住宅	1.75元/㎡/月	227196m²	1500户	2010年	地面和地下停车位	2.8	30%(一般)	和记黄埔地产常州有限公司	家利物业	
华润国际社区	13982	普通住宅	2.00元/平方米·月	1350000m²	216户	2012年	地下停车位	1.84	30%(一般)	华润置地（常州）有限公司	华润物业有限公司	
中央花园	17312	普通住宅	0.9元/平方米·月	500000m²	2700户	2011年	1：0.8	2.28	40%(高)	中国百兴集团 江苏武房集团	常州嘉丰物业	
水岸花语	11612	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城南都	12537	普通住宅	0.58元/平方米·月	868600m²	2902户	2009年	4000	1.78	30%(一般)	新城南都	江苏新城房产股份有限公司	
新城帝景	19698	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
京城豪苑	28894	普通住宅	1.8元/平方米·月	350000m²	2000户	2011年	1：0.6	暂无数据	35%(一般)	常州正方置业有限公司	常州中房物业有限公司	
香江壹品	12664	普通住宅	0.65元/平方米·月	162300m²	1545户	2011年	总数：1236个	2.2	35%(一般)	常州市康桥房地产开发有限公司（中房股份）	嘉乐物业	
龙洲伊都	16920	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
景瑞望府	15634	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
招商花园城	9805	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
凯尔枫尚	13015	普通住宅	0.7元/平方米·月	200000m²	1600户	2012年	总数：1440个	2.5	36%(一般)	常州凯尔置业有限公司	常州江南中鑫物业服务有限公司	
花东三村	8408	普通住宅	300元/平方米·月	110000m²	454户	1998年	地面68个	1.65	23%(一般)	常州世贸中心置业有限公司	龙涛物业	
红星国际广场	9979	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中海凤凰熙岸	12318	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
学府东苑	4440	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	100	2.2	20%(一般)	暂无数据	暂无资料	
常信天润园	13655	普通住宅	0.8元/平方米·月	202200m²	1506户	2012年	1238	2.5	40%(高)	常信鑫源房地产开发有限公司(常信房产子公司)	常信物业	
牛塘新村	7073	普通住宅	0.6元/平米·月	50000m²	800户	2000年	600	1.5	42%(高)	兰新房产公司	小区物业	
清潭新村	7808	普通住宅	0.20元/平方米·月	180000m²	2338户	1989年	地面停车场	暂无数据	暂无数据	常州房地产开发公司	小区物业	
德禾豪景	12550	普通住宅	1.12元/平方米·月	120000m²	1119户	2012年	可租可售	3	35%(一般)	常州德禾置业有限公司	天天欣业	
名仕佳园	10446	普通住宅	0.7元/平方米·月	100000m²	911户	2011年	总数：800个	2.1	36%(一般)	常州华凌房地产发展有限公司 	高正物业	
新城公馆	16481	普通住宅	1.50元/平方米·月	464000m²	700户	2011年	地下150个	0.7	46%(高)	常州新城房产开发有限公司	新城物业	
九龙仓时代上院	14740	普通住宅	1.5元/平方米·月	1000000m²	6000户	2012年	地下	1.86	35%(一般)	九龙仓（常州）置业有限公司	无锡上都物业有限公司常州分公司	
河海新邦	10909	普通住宅	0.8元/平方米·月	230000m²	2600户	2012年	1：0.23	2.3	40%(高)	常州市河海房地产开发有限公司	常州市延陵物业管理有限公司	
紫金城	13646	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
御源林城	12037	普通住宅	0.7元/平方米·月	300000m²	2000户	2012年	地下1212个	1.73	47%(高)	常州御源房地产有限公司	常州中房物业有限公司	
腾龙苑	10253	普通住宅	0.5元/平方米·月	110000m²	700户	2007年	地下停车库	暂无数据	暂无数据	常州市新北区龙虎项目推进办公室	常州市新北区龙虎项目推进办公室	
阳光龙庭	14980	普通住宅	1元/平方米·月	600000m²	4245户	2012年	车位比1：0.6	2.2	30%(一般)	常州北辰置业有限公司	常州中房物业有限公司	
世纪华城	11349	普通住宅	0.65元/平方米·月	310000m²	2000户	2008年	世纪华城	2.8	30%(一般)	常州市华强房地产开发有限公司	江苏高正物业管理有限公司	
景瑞曦城	13037	普通住宅	0.7元/平方米·月	223000m²	1670户	2011年	总数：1132个	2.38	40%(高)	常州景申置业有限公司	景瑞物业	
天禄商务广场·文渊居	10075	普通住宅	0.7元/平方米·月	560000m²	1500户	2010年	总数：1000个	2.7	65%(高)	常州天禄中创建设开发有限公司	常州府琛物业管理有限公司	
绿地外滩1号	12462	普通住宅	1.2元/平方米·月	348787m²	1850户	2012年	2059辆	2.7	35%(一般)	常州绿地昆特置业有限公司	安基物业	
金新鼎邦	19856	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
桂花园	11170	普通住宅	0.66元/平方米·月	223960m²	1800户	2008年	1476个，车位比1：0.8	2.22	30%(一般)	常州永红万嘉	常州江南中鑫物业管理有限公司	
绿地香颂花园	12334	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中奥珑郡（滆湖中路17号）	10021	公寓	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
蓝天新苑	13483	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
荆川里小区	7269	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6538元/平方米	
太湖明珠苑	13190	普通住宅	0.35元/平方米·月	410000m²	500户	2009年	地下285个	1.98	41%(高)	常州市三优房地产开发有限公司	常州市三优房物业有限公司	
恒大翡翠华庭	12550	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
